,GOP／Gen／DMG／デジマ／資料DL_GO・Pocket紹介資料,GOP／Gen／DMG／デジマ／資料DL_サブコン業活用ガイド+事例集,GOP／Gen／DMG／デジマ／資料DL_デバイス1つで始められる「遠隔臨場」徹底解説,GOP／Gen／DMG／デジマ／資料DL_ハウス業活用ガイド+事例集,GOP／Gen／DMG／デジマ／資料DL_公共編,GOP／Gen／DMG／デジマ／資料DL_公共編活用ガイド+事例集,GOP／Gen／DMG／デジマ／資料DL_建設ソリューション,GOP／Gen／DMG／デジマ／資料DL_建設業活用ガイド+事例集,GOP／Gen／DMG／デジマ／資料DL_物流業活用ガイド+事例集,GOP／Gen／DMG／デジマ／資料DL_製造業活用ガイド+事例集,GOP／Gen／DMG／デジマ／資料DL_製造業界編,MIX／Gen／DMG／デジマ／資料DL_【店舗管理者さま向け】みんなが実践！「動画」をつかった人材マネジメント集,MIX／Gen／DMG／デジマ／資料DL_映像を活用した現場DX,OPT／Gen／DMG／デジマ／資料DL_AiPeopleカウント,OPT／Gen／DMG／デジマ／資料DL_POSジャーナル紹介資料,OPT／Gen／DMG／デジマ／資料DL_あらゆるデバイス*の映像をSafieのクラウドで一括管理できるSafieConnect,PRO／Gen／DMG／デジマ／資料DL_Manager紹介資料,PRO／Gen／DMG／デジマ／資料DL_SafieOne製品紹介,PRO／Gen／DMG／デジマ／資料DL_これさえあればOK！Safie資料3点セット,PRO／Gen／DMG／デジマ／資料DL_クラウド録画カメラサービス『Safie（セーフィー）』,PRO／Gen／DMG／デジマ／資料DL_サービス業活用ガイド+事例集,PRO／Gen／DMG／デジマ／資料DL_セーフィー対応カメラ七選,PRO／Gen／DMG／デジマ／資料DL_介護業界向け_トラブルからスタッフを守る！,PRO／Gen／DMG／デジマ／資料DL_安⼼な美容室づくり_スタッフの⾒守り・接客の品質向上の 実現⽅法とは,PRO／Gen／DMG／デジマ／資料DL_小売業活用ガイド+事例集,PRO／Gen／DMG／デジマ／資料DL_遠隔点呼に使えるクラウドカメラ紹介,PRO／Gen／DMG／デジマ／資料DL_飲食業活用ガイド+事例集
GOP／Gen／DMG／デジマ／資料DL_GO・Pocket紹介資料,0,1,1,1,0,1,0,3,3,1,1,1,5,0,2,0,1,4,4,3,1,1,1,1,2,1,1
GOP／Gen／DMG／デジマ／資料DL_サブコン業活用ガイド+事例集,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,2,1,1,1,1,1,1,1
GOP／Gen／DMG／デジマ／資料DL_デバイス1つで始められる「遠隔臨場」徹底解説,1,1,0,1,0,2,0,1,2,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,2,1
GOP／Gen／DMG／デジマ／資料DL_ハウス業活用ガイド+事例集,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
GOP／Gen／DMG／デジマ／資料DL_公共編,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOP／Gen／DMG／デジマ／資料DL_公共編活用ガイド+事例集,1,1,2,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
GOP／Gen／DMG／デジマ／資料DL_建設ソリューション,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOP／Gen／DMG／デジマ／資料DL_建設業活用ガイド+事例集,3,1,1,1,0,1,0,0,2,1,1,1,3,0,2,0,1,1,3,2,1,1,1,1,2,1,1
GOP／Gen／DMG／デジマ／資料DL_物流業活用ガイド+事例集,3,1,2,1,0,1,0,2,0,1,1,1,2,0,2,0,1,2,1,1,1,1,1,1,2,2,1
GOP／Gen／DMG／デジマ／資料DL_製造業活用ガイド+事例集,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
GOP／Gen／DMG／デジマ／資料DL_製造業界編,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
MIX／Gen／DMG／デジマ／資料DL_【店舗管理者さま向け】みんなが実践！「動画」をつかった人材マネジメント集,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
